key,subject,assesment,start-period,end-period,mark,link,key:audit
auditing-record-13,Esto es un texto de prueba,Esta proposicion contiene 99 caracteres para testear la base de datos de mi aplicacion de ACME-L3 .,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-14,Esto es un texto de prueba,Esta proposicion contiene 100 caracteres para testear la base de datos de mi aplicacion ACME-L3-D02.,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-15,Esto es un texto de prueba,Для,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-16,Esto es un texto de prueba,सम्पुट,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-17,Esto es un texto de prueba,<p>Mi gato es muy gruñon</p>,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-18,Esto es un texto de prueba,<script>alert('hi?')</script>,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-19,Esto es un texto de prueba,Esto es un texto de prueba,2020/12/31 23:59,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-20,Esto es un texto de prueba,Esto es un texto de prueba,2020/12/31 00:00,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-21,Esto es un texto de prueba,Esto es un texto de prueba,2021/01/01 00:00,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-22,Esto es un texto de prueba,Esto es un texto de prueba,2021/02/13 00:00,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-23,Esto es un texto de prueba,Esto es un texto de prueba,2021/02/13 12:00,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-24,Esto es un texto de prueba,Esto es un texto de prueba,2021/02/13 19:39,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-25,Esto es un texto de prueba,Esto es un texto de prueba,2021/02/13 23:59,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-26,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2020/12/31 23:59,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-27,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2020/12/31 00:00,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-28,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2021/01/01 00:00,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-29,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2021/02/13 00:00,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-30,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2021/02/13 12:00,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-31,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2021/02/13 19:39,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-32,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,2021/02/13 23:59,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-33,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,A,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-34,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,B,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-35,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,C,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-36,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,F,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-37,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,FMINUS,https://github.com/orgs/C1-04-06/repositories,audit-01
auditing-record-38,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,APLUS,http://www.example.com,audit-01
auditing-record-39,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,APLUS,http://www.acme.com/a?b,audit-01
auditing-record-40,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,APLUS,null,audit-01
auditing-record-41,Esto es un texto de prueba,Esto es un texto de prueba,1990/01/15 09:20,1990/01/15 09:20,APLUS,https://github.com/orgs/C1-04-06/repositories,audit-02
